z,logMstar,logSFR,source
10,6.84399375975039,-1.4795081967213113,hyper-sn (teal)
10,6.853354134165366,-1.4795081967213113,hyper-sn (teal)
10,6.862714508580343,-1.4672131147540983,hyper-sn (teal)
10,6.87207488299532,-1.4672131147540983,hyper-sn (teal)
10,6.881435257410296,-1.4672131147540983,hyper-sn (teal)
10,6.890795631825273,-1.4549180327868854,hyper-sn (teal)
10,6.90015600624025,-1.4549180327868854,hyper-sn (teal)
10,6.909516380655226,-1.4549180327868854,hyper-sn (teal)
10,6.918876755070203,-1.442622950819672,hyper-sn (teal)
10,6.928237129485179,-1.442622950819672,hyper-sn (teal)
10,6.937597503900156,-1.442622950819672,hyper-sn (teal)
10,6.946957878315133,-1.430327868852459,hyper-sn (teal)
10,6.956318252730109,-1.430327868852459,hyper-sn (teal)
10,6.965678627145086,-1.430327868852459,hyper-sn (teal)
10,6.975039001560063,-1.418032786885246,hyper-sn (teal)
10,6.984399375975039,-1.418032786885246,hyper-sn (teal)
10,6.993759750390016,-1.418032786885246,hyper-sn (teal)
10,7.003120124804992,-1.4057377049180326,hyper-sn (teal)
10,7.0124804992199685,-1.4057377049180326,hyper-sn (teal)
10,7.021840873634945,-1.4057377049180326,hyper-sn (teal)
10,7.031201248049922,-1.3934426229508197,hyper-sn (teal)
10,7.040561622464899,-1.3934426229508197,hyper-sn (teal)
10,7.049921996879875,-1.3811475409836067,hyper-sn (teal)
10,7.059282371294852,-1.3811475409836067,hyper-sn (teal)
10,7.068642745709829,-1.3811475409836067,hyper-sn (teal)
10,7.078003120124805,-1.3688524590163933,hyper-sn (teal)
10,7.087363494539781,-1.3688524590163933,hyper-sn (teal)
10,7.096723868954758,-1.3688524590163933,hyper-sn (teal)
10,7.106084243369734,-1.3565573770491803,hyper-sn (teal)
10,7.1154446177847115,-1.3565573770491803,hyper-sn (teal)
10,7.124804992199688,-1.3565573770491803,hyper-sn (teal)
10,7.134165366614665,-1.3442622950819674,hyper-sn (teal)
10,7.1435257410296416,-1.3442622950819674,hyper-sn (teal)
10,7.152886115444618,-1.3442622950819674,hyper-sn (teal)
10,7.162246489859594,-1.331967213114754,hyper-sn (teal)
10,7.171606864274571,-1.331967213114754,hyper-sn (teal)
10,7.180967238689547,-1.331967213114754,hyper-sn (teal)
10,7.190327613104524,-1.319672131147541,hyper-sn (teal)
10,7.199687987519501,-1.319672131147541,hyper-sn (teal)
10,7.209048361934477,-1.307377049180328,hyper-sn (teal)
10,7.2184087363494545,-1.307377049180328,hyper-sn (teal)
10,7.227769110764431,-1.307377049180328,hyper-sn (teal)
10,7.237129485179407,-1.2950819672131146,hyper-sn (teal)
10,7.246489859594384,-1.2950819672131146,hyper-sn (teal)
10,7.25585023400936,-1.2950819672131146,hyper-sn (teal)
10,7.265210608424336,-1.2827868852459017,hyper-sn (teal)
10,7.274570982839314,-1.2827868852459017,hyper-sn (teal)
10,7.28393135725429,-1.2827868852459017,hyper-sn (teal)
10,7.293291731669267,-1.2704918032786887,hyper-sn (teal)
10,7.302652106084244,-1.2704918032786887,hyper-sn (teal)
10,7.31201248049922,-1.2704918032786887,hyper-sn (teal)
10,7.3213728549141965,-1.2704918032786887,hyper-sn (teal)
10,7.330733229329173,-1.2704918032786887,hyper-sn (teal)
10,7.340093603744149,-1.2704918032786887,hyper-sn (teal)
7,5.2433697347893915,-2.2172131147540988,bursty-sn (red)
7,5.252730109204368,-2.2049180327868854,bursty-sn (red)
7,5.262090483619345,-2.2049180327868854,bursty-sn (red)
7,5.271450858034322,-2.192622950819672,bursty-sn (red)
7,5.280811232449298,-2.192622950819672,bursty-sn (red)
7,5.290171606864274,-2.1803278688524594,bursty-sn (red)
7,5.299531981279252,-2.1803278688524594,bursty-sn (red)
7,5.308892355694228,-2.168032786885246,bursty-sn (red)
7,5.318252730109204,-2.1557377049180326,bursty-sn (red)
7,5.327613104524181,-2.1557377049180326,bursty-sn (red)
7,5.336973478939157,-2.14344262295082,bursty-sn (red)
7,5.3463338533541345,-2.14344262295082,bursty-sn (red)
7,5.355694227769111,-2.1311475409836067,bursty-sn (red)
7,5.365054602184087,-2.1311475409836067,bursty-sn (red)
7,5.374414976599064,-2.1188524590163933,bursty-sn (red)
7,5.383775351014041,-2.10655737704918,bursty-sn (red)
7,5.393135725429017,-2.10655737704918,bursty-sn (red)
7,5.402496099843994,-2.0942622950819674,bursty-sn (red)
7,5.41185647425897,-2.0942622950819674,bursty-sn (red)
7,5.4212168486739465,-2.081967213114754,bursty-sn (red)
7,5.430577223088924,-2.081967213114754,bursty-sn (red)
7,5.4399375975039,-2.0696721311475406,bursty-sn (red)
7,5.4492979719188765,-2.057377049180328,bursty-sn (red)
7,5.458658346333853,-2.057377049180328,bursty-sn (red)
7,5.46801872074883,-2.0450819672131146,bursty-sn (red)
7,5.477379095163807,-2.0450819672131146,bursty-sn (red)
7,5.486739469578783,-2.0327868852459012,bursty-sn (red)
7,5.496099843993759,-2.0327868852459012,bursty-sn (red)
7,5.505460218408737,-2.0327868852459012,bursty-sn (red)
7,5.514820592823713,-2.0081967213114753,bursty-sn (red)
7,5.5241809672386895,-2.0081967213114753,bursty-sn (red)
7,5.533541341653666,-2.0081967213114753,bursty-sn (red)
7,5.542901716068643,-1.9836065573770494,bursty-sn (red)
7,5.5522620904836195,-1.971311475409836,bursty-sn (red)
7,5.561622464898596,-1.971311475409836,bursty-sn (red)
7,5.570982839313572,-1.959016393442623,bursty-sn (red)
7,5.580343213728549,-1.94672131147541,bursty-sn (red)
7,5.589703588143526,-1.94672131147541,bursty-sn (red)
7,5.599063962558502,-1.9344262295081966,bursty-sn (red)
7,5.608424336973479,-1.9221311475409837,bursty-sn (red)
7,5.617784711388456,-1.9221311475409837,bursty-sn (red)
7,5.627145085803432,-1.9098360655737703,bursty-sn (red)
7,5.636505460218409,-1.8975409836065573,bursty-sn (red)
7,5.645865834633385,-1.8975409836065573,bursty-sn (red)
7,5.655226209048362,-1.8852459016393444,bursty-sn (red)
7,5.664586583463339,-1.872950819672131,bursty-sn (red)
7,5.673946957878315,-1.872950819672131,bursty-sn (red)
7,5.683307332293292,-1.872950819672131,bursty-sn (red)
7,5.692667706708268,-1.848360655737705,bursty-sn (red)
7,5.702028081123245,-1.848360655737705,bursty-sn (red)
7,5.711388455538222,-1.848360655737705,bursty-sn (red)
7,5.720748829953198,-1.8237704918032787,bursty-sn (red)
7,5.7301092043681745,-1.8237704918032787,bursty-sn (red)
7,5.739469578783151,-1.8237704918032787,bursty-sn (red)
7,5.748829953198128,-1.7991803278688523,bursty-sn (red)
7,5.758190327613105,-1.7868852459016393,bursty-sn (red)
7,5.767550702028081,-1.7868852459016393,bursty-sn (red)
7,5.776911076443057,-1.7745901639344264,bursty-sn (red)
7,5.786271450858035,-1.762295081967213,bursty-sn (red)
7,5.795631825273011,-1.762295081967213,bursty-sn (red)
